id,target,age,gender,A,B,C,D,E,F,G
1067163490,0,47,1,2.0,4.333333333333333,1.0,1.3333333333333333,3.0,3.0,2.5
1073181139,2,60,1,3.3333333333333335,3.0,3.3333333333333335,1.3333333333333333,3.3333333333333335,4.333333333333333,3.0
1074271959,0,57,0,2.0,4.666666666666667,1.0,1.0,4.333333333333333,2.0,2.0
1074896711,0,74,0,2.3333333333333335,5.0,1.0,2.0,4.333333333333333,1.6666666666666667,2.5
1077476451,0,79,1,3.6666666666666665,5.0,1.0,2.0,3.6666666666666665,1.6666666666666667,2.5
1080555288,0,68,1,2.6666666666666665,4.666666666666667,1.0,2.0,4.0,3.3333333333333335,2.5
1124764916,0,61,0,4.0,2.6666666666666665,2.3333333333333335,1.3333333333333333,3.6666666666666665,3.6666666666666665,2.5
1139463736,3,51,0,1.6666666666666667,2.3333333333333335,3.0,1.3333333333333333,3.6666666666666665,3.0,2.0
1164292259,0,68,1,3.0,3.6666666666666665,3.3333333333333335,1.6666666666666667,3.0,3.0,3.5
1200966903,0,59,1,3.3333333333333335,3.6666666666666665,1.0,2.0,4.333333333333333,1.0,1.5
1211508074,0,42,0,1.0,5.0,1.0,2.0,5.0,1.0,3.5
1214797272,0,72,1,3.3333333333333335,5.0,1.0,1.3333333333333333,3.3333333333333335,2.0,3.5
1234462064,0,71,0,3.3333333333333335,4.333333333333333,2.0,2.0,3.6666666666666665,3.6666666666666665,2.0
1237727062,4,52,0,3.0,4.0,2.3333333333333335,1.0,3.6666666666666665,2.0,2.0
1275288813,0,75,0,1.3333333333333333,4.666666666666667,1.6666666666666667,1.3333333333333333,4.666666666666667,1.3333333333333333,2.0
1275793506,0,66,1,4.0,3.0,3.3333333333333335,1.3333333333333333,4.666666666666667,3.3333333333333335,2.5
1276069977,0,61,0,1.3333333333333333,5.0,1.6666666666666667,1.3333333333333333,4.666666666666667,1.3333333333333333,2.0
1281890487,0,55,0,2.0,3.3333333333333335,1.0,1.3333333333333333,3.3333333333333335,3.3333333333333335,3.0
1287027458,0,24,1,3.0,4.0,2.6666666666666665,1.0,3.6666666666666665,3.3333333333333335,4.0
1287692551,4,64,1,4.333333333333333,2.6666666666666665,2.0,1.3333333333333333,3.6666666666666665,4.666666666666667,2.0
1301653800,0,64,0,1.3333333333333333,5.0,1.0,2.0,4.666666666666667,3.3333333333333335,4.0
1310781225,1,65,1,3.3333333333333335,4.0,1.6666666666666667,2.0,4.0,3.0,2.5
1315359868,4,42,1,3.0,3.6666666666666665,4.0,1.0,3.3333333333333335,2.6666666666666665,2.0
1318523925,0,39,0,3.0,3.6666666666666665,1.0,1.6666666666666667,4.333333333333333,2.3333333333333335,3.0
1320586244,1,47,1,2.6666666666666665,4.0,2.6666666666666665,1.3333333333333333,3.3333333333333335,2.6666666666666665,3.0
1324855904,0,60,0,4.0,4.666666666666667,3.6666666666666665,2.0,4.0,4.0,3.0
1335846688,0,54,0,4.333333333333333,5.0,1.0,2.0,5.0,1.6666666666666667,2.0
1344311186,1,72,0,3.3333333333333335,3.0,2.6666666666666665,1.3333333333333333,4.666666666666667,4.333333333333333,2.5
